"HolderAddress","Balance","PendingBalanceUpdate"
"0x181f837108079F52466d749BFb111307bfDa3dD4","-118583","No"
"0xC0B8F6101ec21F73fe132575Aa25c5bfb11C81D5","0","No"
"0x4F2e07A59363C4DA39Cf763DDaf51ed94ca0C768","0","No"
"0x2fF1415a1aA349a168FBb6e043906DCfEc3D589D","-3224137","No"
"0xD87766c5383EaCF3A054930B924137f704171071","0","No"
"0x32a0d6a85Fe6750Fd37F0625d82AE7219583dE4C","0","No"
"0x5c4093d14c2fCb6c4A148e2309a393294CbF7317","0","No"
"0x6407b662B306e2353b627488dA952337A5a0BBAA","-6631330","No"
"0xd89Eb5B2044FF32a922E8970C6113178183CFFd0","0","No"
"0x830D61BF6895307b87F82C1554bb2937CA0Cc617","-116379","No"
"0xd6c5156DFdd4ee2A6F302da5Af186cC7d9ecdCf8","-265620","No"
"0xf50994c5Dc60b315BA759A4c4FDc70fB3747D35B","-190000","No"
"0x332027575b9061e62BbBCf2a3172036Eec3b86ea","-30086","No"
"0xad24A650985e36C8275221ADa7C5e014d624c12E","0","No"
"0xE81a34D6551e4456A10C2B8C3a8536894034EB70","-5151","No"
"0x08d28494d98B83A5f2228a056198b19375d19ecB","-180929","No"
"0x9273a207fcb56f02288CE7268326EdcE597f180f","0","No"
"0xeE68E0bcfE702Aec654f844A75a4D8aACEC5756C","0","No"
"0x4C106d1E610BD76DFe34E15C209d4a4AFfCcEcf6","-785334","No"
"0x04e10923Eb2ef89D3Ba1bEf1780c8A3a332e9822","0","No"
"0x6Dd1D256C4d5Cc7730F85559F0d1f25C4433fea8","-112536","No"
"0xe4512C69f4e25a171713a3e6bB9c82972506871A","0","No"
"0xd2b388467D9d0C30BAb0A68070C6F49C473583a0","-990000","No"
"0x9cc5B4DD8D672DA071EBb69A789956b54b820525","-989900","No"
"0xe904F20b2B07E59118b6Ca7936c23DF5E2E847F4","-1329310","No"
"0x15cc40f7152a7E2Ca6970FC7eb1ed41AAeA42230","0","No"
"0x47E927fe1bE958E47cAD175C727DEd7282608f52","-86206","No"
"0x58d3a2f3f5f8dEaf5DfA97DE36F932062369bf59","0","No"
"0xCA6aB2e6778AeF3daFF16c0B8338a880E2cE64fC","-259481","No"
"0xB52D6540988d13B735660e8B0186A467BB301398","0","No"
"0x142ee30046E8b3A8CbCd85eb54fA29DF88D56a03","-215517","No"
"0x4Ee16bdF811F57d2B7eC247a90323F1d95036A24","0","No"
"0x8B1166C9367505988422569b7853E5253d461089","-78146","No"
"0xb127224FdF2022Dc8E79E4cb9c16d6B9B80c8E5C","0","No"
"0xDC9616fB33327d1f6660FD29760864Ea41a69Cdf","-149050","No"
"0x6a3A9b99c4DD6797bc449eFB5397eD039862d973","0","No"
"0x9e162be2bA3B8F9E24d4A6cbF2Bd949A40D5FFCA","-129310","No"
"0x6BBf51e2DfE2B1785aF8ABf3BDe54546e489E2aa","0","No"
"0x9759d271753F79486cc4ed38eA99CA4A67B09436","-392000","No"
"0xa43F26CFff93ec6d30e84663634A7BC2Aa5Fd474","0","No"
"0x006735945070fd7Ced7622fA910F06c27C8d3C4d","-441284","No"
"0x94e1252fD16448DfA9F105077f3950eddB6497B4","0","No"
"0xc0e3773b0BF8e1538DB58272DC2Cb4dF2E56e5FD","0","No"
"0x79fA5bC1564d0fd4EF829713b45F600961670E18","-302155","No"
"0x3Fedb1C0627E9eb90B8F35AcAF940Ad08C32d1c8","-31043","No"
"0xE3C3E355d97e45e360fdfbFdf52b37Cd1a48203D","0","No"
"0x1E7658596f97e4336f7B6824154EfeA487b9ce77","0","No"
"0x864a085F34a3d5fdafDb27F8Cf342e07bEA9df9c","0","No"
"0x41d8972277ecd7e606e436C8AE428FD4136982b3","-345200","No"
"0x9a3085e573b6606fe0D8028C7c247b7ad0629034","0","No"
"0x67683E911E051b42284fa05DDCd593EB647d2525","-17500","No"
"0x6537536ec6E1bb456F44E530ebe5cf0E1bd0b709","0","No"
"0x378e6582E4E3723f7076c7769eEF6FEBF51258E1","-380000","No"
"0xB7A917a2c1b8971AEF53e0B6EDcc3724AB10F310","0","No"
"0xF393d201D6dC50E8E49B5C049DA24b6Ccbb1333c","-152413","No"
"0x13DecE3ada6dC31828506976a593260d2AF8f355","0","No"
"0x72Cc4FCDD359b7C60B91362E94Fb7CBC4155D40d","-149000","No"
"0x13bE13f2C85e76f045A0962706Dc4c857613D41a","0","No"
"0xd95DF826Fc3EA014F404a1368a254e23d29d99c8","-5098547","No"
"0x1162EAba840b80d8b5a4cca00B67c94341ae565C","0","No"
"0x7dc02442a4C55039cd179877B7dA99c4700120dC","0","No"
"0x1BFDb3766E986659Bd4A10b34587E7790063496b","0","No"
"0x046b29EA7B149220442CF94c04f2224B9b38d5f8","-2130","No"
"0x1e9b7B836b3Af545EaB946060b7dF61F35Dd536F","0","No"
